Area,AOV_area,Population,Households,Top1Nationality,Top2Nationality,Top3Nationality,Top1Cuisine,Top2Cuisine,Top3Cuisine,Competition1,Competition2,Competition3,Frequency,MonthlyOrders
JLT,55,25000,10000,Indians,Pakistanis,Russians,Indians,Pakistanis,Russians,7,7,7,2,5000
Marina,75,40000,15000,Russians,British,Europeans,Russians,British,Europeans,5,5,5,2,6000
Business Bay,70,35000,12000,Indians,Indian,Arabic,Indians,Indian,Arabic,8,8,8,2,5800
Al Barsha,45,30000,11000,Pakistanis,Indians,Filipinos,Pakistanis,Indians,Filipinos,6,6,6,2,4000
Deira,30,50000,18000,Bangladeshis,Pakistanis,Indians,Bangladeshis,Pakistanis,Indians,6,6,6,2,7000
1,35,50000,12000,Indians,Pakistanis,Russians,Indians,Pakistanis,Russians,6,6,6,2,7000
2,40,50000,12000,Russians,British,Europeans,Russians,British,Europeans,6,6,6,2,7000
3,89,50000,12000,Indians,Indian,Arabic,Indians,Indian,Arabic,6,6,6,2,7000
4,150,50000,12000,Pakistanis,Russians,Indians,Pakistanis,Russians,Indians,6,6,6,2,7000
5,132,50000,12000,British,Europeans,Russians,British,Europeans,Russians,6,6,6,2,7000
6,100,50000,12000,Indian,Arabic,Indians,Indian,Arabic,Indians,6,6,6,2,7000
7,78,50000,12000,Pakistanis,Russians,Indians,Pakistanis,Russians,Indians,6,6,6,2,7000
8,65,50000,12000,British,Europeans,Russians,British,Europeans,Russians,6,6,6,2,7000
9,44,50000,12000,Indian,Arabic,Indians,Indian,Arabic,Indians,6,6,6,2,7000
10,97,50000,12000,Indian,Arabic,Indians,Indian,Arabic,Indians,6,6,6,2,7000
